Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,1,4,2015-09-17,1.0,1,0,0,c,a,1270.0,9.0,2008.0,0,0.0,0.0,0
2,3,4,2015-09-17,1.0,1,0,0,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
3,7,4,2015-09-17,1.0,1,0,0,a,c,24000.0,4.0,2013.0,0,0.0,0.0,0
4,8,4,2015-09-17,1.0,1,0,0,a,a,7520.0,10.0,2014.0,0,0.0,0.0,0
5,9,4,2015-09-17,1.0,1,0,0,a,c,2030.0,8.0,2000.0,0,0.0,0.0,0
6,10,4,2015-09-17,1.0,1,0,0,a,a,3160.0,9.0,2009.0,0,0.0,0.0,0
7,11,4,2015-09-17,1.0,1,0,0,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
8,12,4,2015-09-17,1.0,1,0,0,a,c,1070.0,7.2247043363994745,2008.6688567674114,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
9,13,4,2015-09-17,1.0,1,0,0,d,a,310.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
10,14,4,2015-09-17,1.0,1,0,0,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
11,15,4,2015-09-17,1.0,1,0,0,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
12,16,4,2015-09-17,1.0,1,0,0,a,c,3270.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
13,19,4,2015-09-17,1.0,1,0,0,a,c,3240.0,7.2247043363994745,2008.6688567674114,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
14,20,4,2015-09-17,1.0,1,0,0,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
15,21,4,2015-09-17,1.0,1,0,0,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
16,22,4,2015-09-17,1.0,1,0,0,a,a,1040.0,7.2247043363994745,2008.6688567674114,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
17,23,4,2015-09-17,1.0,1,0,0,d,a,4060.0,8.0,2005.0,0,0.0,0.0,0
18,24,4,2015-09-17,1.0,1,0,0,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
19,25,4,2015-09-17,1.0,1,0,0,c,a,430.0,4.0,2003.0,0,0.0,0.0,0
20,27,4,2015-09-17,1.0,1,0,0,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
21,29,4,2015-09-17,1.0,1,0,0,d,c,2170.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
22,30,4,2015-09-17,1.0,1,0,0,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
23,31,4,2015-09-17,1.0,1,0,0,d,c,9800.0,7.0,2012.0,0,0.0,0.0,0
24,32,4,2015-09-17,1.0,1,0,0,a,a,2910.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
25,33,4,2015-09-17,1.0,1,0,0,a,c,1320.0,5.0,2013.0,0,0.0,0.0,0
26,35,4,2015-09-17,1.0,1,0,0,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
27,36,4,2015-09-17,1.0,1,0,0,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
28,38,4,2015-09-17,1.0,1,0,0,d,a,1090.0,4.0,2007.0,0,0.0,0.0,0
29,39,4,2015-09-17,1.0,1,0,0,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
30,40,4,2015-09-17,1.0,1,0,0,a,a,180.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
31,41,4,2015-09-17,1.0,1,0,0,d,c,1180.0,7.2247043363994745,2008.6688567674114,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
32,42,4,2015-09-17,1.0,1,0,0,a,c,290.0,7.2247043363994745,2008.6688567674114,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
33,43,4,2015-09-17,1.0,1,0,0,d,a,4880.0,7.2247043363994745,2008.6688567674114,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
34,45,4,2015-09-17,1.0,1,0,0,d,a,9710.0,2.0,2014.0,0,0.0,0.0,0
35,46,4,2015-09-17,1.0,1,0,0,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
36,47,4,2015-09-17,1.0,1,0,0,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
37,48,4,2015-09-17,1.0,1,0,0,a,a,1060.0,5.0,2012.0,0,0.0,0.0,0
38,49,4,2015-09-17,1.0,1,0,0,d,c,18010.0,9.0,2007.0,0,0.0,0.0,0
39,50,4,2015-09-17,1.0,1,0,0,d,a,6260.0,11.0,2009.0,0,0.0,0.0,0
40,51,4,2015-09-17,1.0,1,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
41,52,4,2015-09-17,1.0,1,0,0,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
42,53,4,2015-09-17,1.0,1,0,0,a,c,30360.0,9.0,2013.0,0,0.0,0.0,0
43,56,4,2015-09-17,1.0,1,0,0,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
44,58,4,2015-09-17,1.0,1,0,0,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
45,61,4,2015-09-17,1.0,1,0,0,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
46,62,4,2015-09-17,1.0,1,0,0,a,a,2050.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
47,63,4,2015-09-17,1.0,1,0,0,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
48,64,4,2015-09-17,1.0,1,0,0,d,c,22560.0,7.2247043363994745,2008.6688567674114,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
49,66,4,2015-09-17,1.0,1,0,0,d,a,7660.0,7.2247043363994745,2008.6688567674114,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
50,67,4,2015-09-17,1.0,1,0,0,a,c,410.0,2.0,2006.0,0,0.0,0.0,0
51,68,4,2015-09-17,1.0,1,0,0,a,c,250.0,7.2247043363994745,2008.6688567674114,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
52,69,4,2015-09-17,1.0,1,0,0,c,c,1130.0,7.2247043363994745,2008.6688567674114,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
53,70,4,2015-09-17,1.0,1,0,0,c,c,4840.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
54,71,4,2015-09-17,1.0,1,0,0,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
55,72,4,2015-09-17,1.0,1,0,0,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
56,73,4,2015-09-17,1.0,1,0,0,a,c,1650.0,9.0,2008.0,0,0.0,0.0,0
57,74,4,2015-09-17,1.0,1,0,0,a,a,330.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
58,75,4,2015-09-17,1.0,1,0,0,d,c,22440.0,12.0,2013.0,0,0.0,0.0,0
59,76,4,2015-09-17,1.0,1,0,0,d,c,19960.0,3.0,2006.0,0,0.0,0.0,0
60,77,4,2015-09-17,1.0,1,0,0,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
61,79,4,2015-09-17,1.0,1,0,0,a,a,3320.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
62,80,4,2015-09-17,1.0,1,0,0,d,a,7910.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
63,81,4,2015-09-17,1.0,1,0,0,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
64,82,4,2015-09-17,1.0,1,0,0,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
65,83,4,2015-09-17,1.0,1,0,0,a,a,2710.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
66,84,4,2015-09-17,1.0,1,0,0,a,c,11810.0,8.0,2014.0,0,0.0,0.0,0
67,86,4,2015-09-17,1.0,1,0,0,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
68,89,4,2015-09-17,1.0,1,0,0,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
69,90,4,2015-09-17,1.0,1,0,0,a,a,330.0,11.0,2007.0,0,0.0,0.0,0
70,91,4,2015-09-17,1.0,1,0,0,c,a,2410.0,7.2247043363994745,2008.6688567674114,1,35.0,2011.0,"Jan,Apr,Jul,Oct"
71,92,4,2015-09-17,1.0,1,0,0,c,a,240.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
72,93,4,2015-09-17,1.0,1,0,0,a,a,16690.0,7.2247043363994745,2008.6688567674114,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
73,94,4,2015-09-17,1.0,1,0,0,d,c,14620.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
74,98,4,2015-09-17,1.0,1,0,0,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
75,99,4,2015-09-17,1.0,1,0,0,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
76,100,4,2015-09-17,1.0,1,0,0,d,a,17930.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
77,101,4,2015-09-17,1.0,1,0,0,d,c,2440.0,7.2247043363994745,2008.6688567674114,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
78,102,4,2015-09-17,1.0,1,0,0,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
79,105,4,2015-09-17,1.0,1,0,0,a,c,6190.0,7.2247043363994745,2008.6688567674114,1,23.0,2013.0,"Mar,Jun,Sept,Dec"
80,107,4,2015-09-17,1.0,1,0,0,a,a,1930.0,9.0,2009.0,0,0.0,0.0,0
81,108,4,2015-09-17,1.0,1,0,0,d,c,2190.0,9.0,2003.0,0,0.0,0.0,0
82,109,4,2015-09-17,1.0,1,0,0,a,c,3300.0,11.0,2010.0,0,0.0,0.0,0
83,110,4,2015-09-17,1.0,1,0,0,a,c,46590.0,4.0,2013.0,0,0.0,0.0,0
84,111,4,2015-09-17,1.0,1,0,0,d,c,7890.0,7.2247043363994745,2008.6688567674114,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
85,112,4,2015-09-17,1.0,1,0,0,a,a,1630.0,9.0,2009.0,0,0.0,0.0,0
86,113,4,2015-09-17,1.0,1,0,0,d,c,20930.0,11.0,1999.0,0,0.0,0.0,0
87,115,4,2015-09-17,1.0,1,0,0,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
88,117,4,2015-09-17,1.0,1,0,0,a,a,3450.0,9.0,2011.0,0,0.0,0.0,0
89,118,4,2015-09-17,1.0,1,0,0,d,c,3580.0,9.0,2012.0,0,0.0,0.0,0
90,119,4,2015-09-17,1.0,1,0,0,a,c,2100.0,2.0,2010.0,0,0.0,0.0,0
91,120,4,2015-09-17,1.0,1,0,0,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
92,122,4,2015-09-17,1.0,1,0,0,a,c,58260.0,4.0,2013.0,0,0.0,0.0,0
93,124,4,2015-09-17,1.0,1,0,0,a,a,1410.0,4.0,2003.0,0,0.0,0.0,0
94,126,4,2015-09-17,1.0,1,0,0,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
95,127,4,2015-09-17,1.0,1,0,0,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
96,128,4,2015-09-17,1.0,1,0,0,d,c,2000.0,7.2247043363994745,2008.6688567674114,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
97,129,4,2015-09-17,1.0,1,0,0,a,a,2460.0,7.2247043363994745,2008.6688567674114,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
98,130,4,2015-09-17,1.0,1,0,0,c,a,900.0,7.2247043363994745,2008.6688567674114,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
99,131,4,2015-09-17,1.0,1,0,0,c,a,920.0,7.0,2015.0,0,0.0,0.0,0
